RULE_NUMBER	N_VARS	TP	TN	FP	FN	ACC	SUPP	FPR	GR	SUPDIFF	NRULES	AUC	WRACC	TPR	CONF	FISHER	GAIN	
578.0	4.000000	72.000000	4564.000000	0.000000	750.000000	--------	0.013368	0.000000	INFINITY	0.013368	0.000000	--------	0.226841	0.087591	1.000000	0.000000	0.329311	
579.0	4.000000	72.000000	4532.000000	32.000000	750.000000	--------	0.013368	0.007011	12.492701	0.007427	0.000000	--------	0.220900	0.087591	0.692308	0.000000	0.297102	
580.0	4.000000	80.000000	4530.000000	34.000000	742.000000	--------	0.014853	0.007450	13.064262	0.008541	0.000000	--------	0.228776	0.097324	0.701754	0.000000	0.331432	
581.0	4.000000	80.000000	4556.000000	8.000000	742.000000	--------	0.014853	0.001753	55.523114	0.013368	0.000000	--------	0.233603	0.097324	0.909091	0.000000	0.356625	
582.0	4.000000	80.000000	4540.000000	24.000000	742.000000	--------	0.014853	0.005259	18.507705	0.010397	0.000000	--------	0.230632	0.097324	0.769231	0.000000	0.340367	
584.0	4.000000	80.000000	4556.000000	8.000000	742.000000	--------	0.014853	0.001753	55.523114	0.013368	0.000000	--------	0.233603	0.097324	0.909091	0.000000	0.356625	
587.0	4.000000	72.000000	4548.000000	16.000000	750.000000	--------	0.013368	0.003506	24.985401	0.010397	0.000000	--------	0.223870	0.087591	0.818182	0.000000	0.311734	
588.0	4.000000	72.000000	4564.000000	0.000000	750.000000	--------	0.013368	0.000000	INFINITY	0.013368	0.000000	--------	0.226841	0.087591	1.000000	0.000000	0.329311	
589.0	4.000000	72.000000	4564.000000	0.000000	750.000000	--------	0.013368	0.000000	INFINITY	0.013368	0.000000	--------	0.226841	0.087591	1.000000	0.000000	0.329311	
590.0	4.000000	72.000000	4564.000000	0.000000	750.000000	--------	0.013368	0.000000	INFINITY	0.013368	0.000000	--------	0.226841	0.087591	1.000000	0.000000	0.329311	
593.0	4.000000	80.000000	4540.000000	24.000000	742.000000	--------	0.014853	0.005259	18.507705	0.010397	0.000000	--------	0.230632	0.097324	0.769231	0.000000	0.340367	
596.0	4.000000	80.000000	4556.000000	8.000000	742.000000	--------	0.014853	0.001753	55.523114	0.013368	0.000000	--------	0.233603	0.097324	0.909091	0.000000	0.356625	
597.0	4.000000	148.000000	4541.000000	23.000000	674.000000	--------	0.027479	0.005039	35.727917	0.023208	0.000000	--------	0.300918	0.180049	0.865497	0.000000	0.650909	
600.0	4.000000	80.000000	4556.000000	8.000000	742.000000	--------	0.014853	0.001753	55.523114	0.013368	0.000000	--------	0.233603	0.097324	0.909091	0.000000	0.356625	
601.0	4.000000	148.000000	4560.000000	4.000000	674.000000	--------	0.027479	0.000876	205.435523	0.026736	0.000000	--------	0.304445	0.180049	0.973684	0.000000	0.672116	
602.0	4.000000	72.000000	4564.000000	0.000000	750.000000	--------	0.013368	0.000000	INFINITY	0.013368	0.000000	--------	0.226841	0.087591	1.000000	0.000000	0.329311	
603.0	4.000000	72.000000	4564.000000	0.000000	750.000000	--------	0.013368	0.000000	INFINITY	0.013368	0.000000	--------	0.226841	0.087591	1.000000	0.000000	0.329311	
606.0	4.000000	80.000000	4555.000000	9.000000	742.000000	--------	0.014853	0.001972	49.353879	0.013182	0.000000	--------	0.233417	0.097324	0.898876	0.000000	0.355526	
607.0	4.000000	80.000000	4540.000000	24.000000	742.000000	--------	0.014853	0.005259	18.507705	0.010397	0.000000	--------	0.230632	0.097324	0.769231	0.000000	0.340367	
608.0	4.000000	148.000000	4542.000000	22.000000	674.000000	--------	0.027479	0.004820	37.351913	0.023394	0.000000	--------	0.301103	0.180049	0.870588	0.000000	0.651965	
609.0	4.000000	220.000000	4462.000000	102.000000	602.000000	--------	0.040847	0.022349	11.975574	0.021909	0.000000	--------	0.360473	0.267640	0.683230	0.000000	0.904278	
610.0	4.000000	152.000000	4555.000000	9.000000	670.000000	--------	0.028221	0.001972	93.772371	0.026550	0.000000	--------	0.307640	0.184915	0.944099	0.000000	0.684575	
611.0	4.000000	72.000000	4564.000000	0.000000	750.000000	--------	0.013368	0.000000	INFINITY	0.013368	0.000000	--------	0.226841	0.087591	1.000000	0.000000	0.329311	
612.0	4.000000	73.000000	4564.000000	0.000000	749.000000	--------	0.013554	0.000000	INFINITY	0.013554	0.000000	--------	0.227872	0.088808	1.000000	0.000000	0.333885	
613.0	4.000000	72.000000	4560.000000	4.000000	750.000000	--------	0.013368	0.000876	99.941606	0.012625	0.000000	--------	0.226098	0.087591	0.947368	0.000000	0.324575	
614.0	4.000000	66.000000	4546.000000	18.000000	756.000000	--------	0.012254	0.003944	20.358475	0.008912	0.000000	--------	0.217314	0.080292	0.785714	0.000000	0.282505	
615.0	4.000000	144.000000	4564.000000	0.000000	678.000000	--------	0.026736	0.000000	INFINITY	0.026736	0.000000	--------	0.301064	0.175182	1.000000	0.000000	0.658622	
617.0	4.000000	144.000000	4564.000000	0.000000	678.000000	--------	0.026736	0.000000	INFINITY	0.026736	0.000000	--------	0.301064	0.175182	1.000000	0.000000	0.658622	
618.0	4.000000	78.000000	4534.000000	30.000000	744.000000	--------	0.014482	0.006573	14.436010	0.008912	0.000000	--------	0.227456	0.094891	0.722222	0.000000	0.325874	
619.0	4.000000	144.000000	4564.000000	0.000000	678.000000	--------	0.026736	0.000000	INFINITY	0.026736	0.000000	--------	0.301064	0.175182	1.000000	0.000000	0.658622	
