centro_hospitalario,area,categoria,ult_grado,esc_med_gral,esc_esp,anios_prac,casos,hall_disc,hall_arb,hall_dem,mcc_aut,mcc_no_aut,rechazo_fam,no_hosp,per_sol_aut,med_aut,fmr_sol_aut,com_sug_op
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18d,19a,20e,21c,22e
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18d,19a,20e,21c,22k
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18e,19a,20e,21a,22c
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18e,19a,20e,21a,22d
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18e,19a,20e,21a,22e
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18e,19a,20e,21a,22k
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18e,19a,20e,21c,22c
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18e,19a,20e,21c,22d
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18e,19a,20e,21c,22e
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17a,18e,19a,20e,21c,22k
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17c,18d,19a,20e,21a,22c
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17c,18d,19a,20e,21a,22d
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17c,18d,19a,20e,21a,22e
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17c,18d,19a,20e,21a,22k
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17c,18d,19a,20e,21c,22c
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17c,18d,19a,20e,21c,22d
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17c,18d,19a,20e,21c,22e
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17c,18d,19a,20e,21c,22k
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17c,18e,19a,20e,21a,22c
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17c,18e,19a,20e,21a,22d
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17c,18e,19a,20e,21a,22e
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17c,18e,19a,20e,21a,22k
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17c,18e,19a,20e,21c,22c
H1,a3,c2,g1,c1,c7,3b,4a,7b,8a,11a,14c,16b,17c,18e,19a,20e,21c,22d
