centro_hospitalario,area,categoria,ult_grado,esc_med_gral,esc_esp,anios_prac,casos,hall_disc,hall_arb,hall_dem,mcc_aut,mcc_no_aut,rechazo_fam,no_hosp,per_sol_aut,med_aut,fmr_sol_aut,com_sug_op
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17a,18f,19a,20j,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17a,18g,19a,20a,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17a,18g,19a,20a,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17a,18g,19a,20a,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17a,18g,19a,20a,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17a,18g,19a,20a,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17a,18g,19a,20f,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17a,18g,19a,20f,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17a,18g,19a,20f,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17a,18g,19a,20f,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17a,18g,19a,20f,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17a,18g,19a,20j,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17a,18g,19a,20j,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17a,18g,19a,20j,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17a,18g,19a,20j,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17a,18g,19a,20j,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18d,19a,20a,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18d,19a,20a,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18d,19a,20a,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18d,19a,20a,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18d,19a,20a,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18d,19a,20f,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18d,19a,20f,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18d,19a,20f,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18d,19a,20f,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18d,19a,20f,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18d,19a,20j,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18d,19a,20j,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18d,19a,20j,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18d,19a,20j,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18d,19a,20j,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18f,19a,20a,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18f,19a,20a,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18f,19a,20a,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18f,19a,20a,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18f,19a,20a,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18f,19a,20f,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18f,19a,20f,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18f,19a,20f,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18f,19a,20f,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18f,19a,20f,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18f,19a,20j,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18f,19a,20j,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18f,19a,20j,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18f,19a,20j,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18f,19a,20j,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18g,19a,20a,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18g,19a,20a,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18g,19a,20a,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18g,19a,20a,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18g,19a,20a,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18g,19a,20f,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18g,19a,20f,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18g,19a,20f,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18g,19a,20f,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18g,19a,20f,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18g,19a,20j,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18g,19a,20j,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18g,19a,20j,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18g,19a,20j,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17d,18g,19a,20j,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18d,19a,20a,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18d,19a,20a,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18d,19a,20a,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18d,19a,20a,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18d,19a,20a,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18d,19a,20f,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18d,19a,20f,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18d,19a,20f,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18d,19a,20f,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18d,19a,20f,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18d,19a,20j,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18d,19a,20j,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18d,19a,20j,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18d,19a,20j,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18d,19a,20j,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18f,19a,20a,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18f,19a,20a,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18f,19a,20a,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18f,19a,20a,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18f,19a,20a,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18f,19a,20f,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18f,19a,20f,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18f,19a,20f,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18f,19a,20f,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18f,19a,20f,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18f,19a,20j,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18f,19a,20j,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18f,19a,20j,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18f,19a,20j,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18f,19a,20j,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18g,19a,20a,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18g,19a,20a,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18g,19a,20a,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18g,19a,20a,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18g,19a,20a,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18g,19a,20f,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18g,19a,20f,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18g,19a,20f,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18g,19a,20f,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18g,19a,20f,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18g,19a,20j,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18g,19a,20j,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18g,19a,20j,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18g,19a,20j,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16q,17f,18g,19a,20j,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18d,19a,20a,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18d,19a,20a,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18d,19a,20a,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18d,19a,20a,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18d,19a,20a,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18d,19a,20f,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18d,19a,20f,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18d,19a,20f,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18d,19a,20f,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18d,19a,20f,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18d,19a,20j,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18d,19a,20j,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18d,19a,20j,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18d,19a,20j,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18d,19a,20j,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18f,19a,20a,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18f,19a,20a,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18f,19a,20a,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18f,19a,20a,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18f,19a,20a,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18f,19a,20f,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18f,19a,20f,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18f,19a,20f,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18f,19a,20f,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18f,19a,20f,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18f,19a,20j,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18f,19a,20j,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18f,19a,20j,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18f,19a,20j,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18f,19a,20j,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18g,19a,20a,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18g,19a,20a,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18g,19a,20a,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18g,19a,20a,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18g,19a,20a,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18g,19a,20f,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18g,19a,20f,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18g,19a,20f,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18g,19a,20f,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18g,19a,20f,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18g,19a,20j,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18g,19a,20j,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18g,19a,20j,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18g,19a,20j,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17a,18g,19a,20j,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18d,19a,20a,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18d,19a,20a,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18d,19a,20a,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18d,19a,20a,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18d,19a,20a,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18d,19a,20f,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18d,19a,20f,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18d,19a,20f,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18d,19a,20f,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18d,19a,20f,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18d,19a,20j,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18d,19a,20j,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18d,19a,20j,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18d,19a,20j,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18d,19a,20j,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18f,19a,20a,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18f,19a,20a,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18f,19a,20a,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18f,19a,20a,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18f,19a,20a,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18f,19a,20f,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18f,19a,20f,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18f,19a,20f,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18f,19a,20f,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18f,19a,20f,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18f,19a,20j,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18f,19a,20j,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18f,19a,20j,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18f,19a,20j,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18f,19a,20j,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18g,19a,20a,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18g,19a,20a,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18g,19a,20a,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18g,19a,20a,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18g,19a,20a,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18g,19a,20f,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18g,19a,20f,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18g,19a,20f,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18g,19a,20f,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18g,19a,20f,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18g,19a,20j,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18g,19a,20j,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18g,19a,20j,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18g,19a,20j,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17d,18g,19a,20j,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18d,19a,20a,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18d,19a,20a,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18d,19a,20a,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18d,19a,20a,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18d,19a,20a,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18d,19a,20f,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18d,19a,20f,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18d,19a,20f,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18d,19a,20f,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18d,19a,20f,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18d,19a,20j,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18d,19a,20j,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18d,19a,20j,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18d,19a,20j,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18d,19a,20j,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18f,19a,20a,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18f,19a,20a,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18f,19a,20a,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18f,19a,20a,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18f,19a,20a,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18f,19a,20f,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18f,19a,20f,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18f,19a,20f,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18f,19a,20f,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18f,19a,20f,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18f,19a,20j,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18f,19a,20j,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18f,19a,20j,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18f,19a,20j,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18f,19a,20j,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18g,19a,20a,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18g,19a,20a,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18g,19a,20a,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18g,19a,20a,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18g,19a,20a,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18g,19a,20f,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18g,19a,20f,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18g,19a,20f,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18g,19a,20f,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18g,19a,20f,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18g,19a,20j,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18g,19a,20j,21b,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18g,19a,20j,21c,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18g,19a,20j,21d,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14d,16r,17f,18g,19a,20j,21f,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14i,16e,17a,18d,19a,20a,21a,22a
H1,a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14i,16e,17a,18d,19a,20a,21b,22a
