RULE_NUMBER	N_VARS	TP	TN	FP	FN	ACC	SUPP	FPR	GR	SUPDIFF	NRULES	AUC	WRACC	TPR	CONF	FISHER	GAIN	
35.0	1.000000	673.000000	774.000000	149.000000	3790.000000	--------	0.124954	0.161430	0.934122	0.097289	0.000000	--------	0.826807	0.150795	0.818735	0.421184	0.026535	
36.0	1.000000	940.000000	645.000000	278.000000	3523.000000	--------	0.174527	0.301192	0.699291	0.122911	0.000000	--------	0.813109	0.210621	0.771757	0.000000	0.024617	
37.0	1.000000	59.000000	911.000000	12.000000	4404.000000	--------	0.010954	0.013001	1.016824	0.008726	0.000000	--------	0.828667	0.013220	0.830986	1.000000	0.002523	
38.0	1.000000	1416.000000	589.000000	334.000000	3047.000000	--------	0.262904	0.361863	0.876782	0.200891	0.000000	--------	0.820989	0.317275	0.809143	0.009665	0.052091	
39.0	1.000000	2822.000000	462.000000	461.000000	1641.000000	--------	0.523951	0.499458	1.265992	0.438359	0.000000	--------	0.851397	0.632310	0.859580	0.000000	0.142050	
40.0	1.000000	1675.000000	754.000000	169.000000	2788.000000	--------	0.310991	0.183099	2.049760	0.279614	0.000000	--------	0.861569	0.375308	0.908351	0.000000	0.105026	
41.0	1.000000	1411.000000	370.000000	553.000000	3052.000000	--------	0.261975	0.599133	0.527687	0.159302	0.000000	--------	0.780136	0.316155	0.718432	0.000000	0.014315	
42.0	1.000000	1116.000000	838.000000	85.000000	3347.000000	--------	0.207204	0.092091	2.715314	0.191422	0.000000	--------	0.855700	0.250056	0.929226	0.000000	0.075657	
43.0	1.000000	191.000000	891.000000	32.000000	4272.000000	--------	0.035462	0.034670	1.234407	0.029521	0.000000	--------	0.830022	0.042796	0.856502	0.277273	0.009461	
44.0	1.000000	1431.000000	882.000000	41.000000	3032.000000	--------	0.265689	0.044420	7.218228	0.258076	0.000000	--------	0.875965	0.320636	0.972147	0.000000	0.111490	
45.0	1.000000	1694.000000	334.000000	589.000000	2769.000000	--------	0.314519	0.638137	0.594803	0.205162	0.000000	--------	0.784318	0.379565	0.742006	0.000000	0.029441	
46.0	1.000000	1133.000000	663.000000	260.000000	3330.000000	--------	0.210360	0.281690	0.901221	0.162087	0.000000	--------	0.823861	0.253865	0.813352	0.082870	0.042998	
47.0	1.000000	413.000000	923.000000	0.000000	4050.000000	--------	0.076680	0.000000	INFINITY	0.076680	0.000000	--------	0.844488	0.092539	1.000000	0.000000	0.034791	
48.0	1.000000	327.000000	816.000000	107.000000	4136.000000	--------	0.060713	0.115926	0.632032	0.040847	0.000000	--------	0.821320	0.073269	0.753456	0.000035	0.006805	
49.0	1.000000	928.000000	715.000000	208.000000	3535.000000	--------	0.172299	0.225352	0.922698	0.133680	0.000000	--------	0.825644	0.207932	0.816901	0.249160	0.036123	
50.0	1.000000	1030.000000	714.000000	209.000000	3433.000000	--------	0.191237	0.226436	1.019215	0.152432	0.000000	--------	0.829375	0.230786	0.831316	0.796686	0.044130	
51.0	1.000000	864.000000	769.000000	154.000000	3599.000000	--------	0.160416	0.166847	1.160293	0.131823	0.000000	--------	0.833213	0.193592	0.848723	0.064611	0.041030	
52.0	1.000000	804.000000	767.000000	156.000000	3659.000000	--------	0.149276	0.169014	1.065875	0.120312	0.000000	--------	0.830538	0.180148	0.837500	0.449745	0.035783	
53.0	1.000000	108.000000	923.000000	0.000000	4355.000000	--------	0.020052	0.000000	INFINITY	0.020052	0.000000	--------	0.832777	0.024199	1.000000	0.000000	0.009098	
54.0	1.000000	72.000000	923.000000	0.000000	4391.000000	--------	0.013368	0.000000	INFINITY	0.013368	0.000000	--------	0.831394	0.016133	1.000000	0.000002	0.006065	
55.0	1.000000	112.000000	907.000000	16.000000	4351.000000	--------	0.020795	0.017335	1.447681	0.017824	0.000000	--------	0.829960	0.025095	0.875000	0.190908	0.006084	
56.0	1.000000	455.000000	731.000000	192.000000	4008.000000	--------	0.084478	0.208017	0.490100	0.048830	0.000000	--------	0.810453	0.101949	0.703246	0.000000	0.002438	
57.0	1.000000	74.000000	923.000000	0.000000	4389.000000	--------	0.013739	0.000000	INFINITY	0.013739	0.000000	--------	0.831471	0.016581	1.000000	0.000001	0.006234	
58.0	1.000000	3301.000000	472.000000	451.000000	1162.000000	--------	0.612885	0.488624	1.513714	0.529150	0.000000	--------	0.871646	0.739637	0.879797	0.000000	0.183356	
59.0	1.000000	97.000000	887.000000	36.000000	4366.000000	--------	0.018010	0.039003	0.557242	0.011326	0.000000	--------	0.825670	0.021734	0.729323	0.003409	0.001311	
60.0	1.000000	288.000000	923.000000	0.000000	4175.000000	--------	0.053472	0.000000	INFINITY	0.053472	0.000000	--------	0.839688	0.064531	1.000000	0.000000	0.024261	
61.0	1.000000	766.000000	847.000000	76.000000	3697.000000	--------	0.142221	0.082340	2.084443	0.128110	0.000000	--------	0.843932	0.171633	0.909739	0.000000	0.048292	
62.0	1.000000	190.000000	923.000000	0.000000	4273.000000	--------	0.035277	0.000000	INFINITY	0.035277	0.000000	--------	0.835925	0.042572	1.000000	0.000000	0.016006	
